4,0,0,0,0,0,0,0,0,0,25
797067,119257,66716,42979,105065,34029,13588,9173,0,0,51
1362728,358836,128013,56861,43999,208871,78562,48106,0,0,51
359623,83862,34527,10333,20288,22465,14194,10448,0,0,51
288615,38027,53120,10644,10823,16660,5541,1605,0,0,25
358851,53260,12115,34777,11606,39206,23423,6956,0,0,26
836284,258655,11297,114047,227782,253007,106351,150521,0,0,51
829429,526508,56375,52670,79629,109633,61785,15257,0,0,51
802640,23942,3838,1319,5219,3332,2706,658,0,0,0
1013050,28029,14274,16319,16048,39643,13786,4149,0,0,51
1404428,160407,8009,20679,17295,11865,24990,6373,0,0,0
982143,413288,226132,107334,28278,36995,27691,19089,0,0,0
546713,32986,27881,27342,5762,7580,7697,4237,53,47,0
126589,37442,4351,15768,5465,7455,6428,6453,54,64,0
202699,84871,13039,3110,2921,12331,6265,4065,47,83,0
32163,8830,1423,481,2214,485,288,370,38,70,0
168071,13032,8788,4649,2628,2230,1571,1078,34,70,0
1761322,251505,61622,7180,50719,52208,28491,24043,26,77,0
114367,53511,18970,5470,11475,4165,3802,1990,35,53,0
68770,24502,3784,3462,7991,1688,2799,2446,37,56,0
531995,112281,1361,9004,15498,10517,6501,7078,11,56,0
2030143,59249,58653,26628,18271,8503,4211,2641,27,29,0
207641,145796,4806,21053,15875,23783,15237,21124,17,56,0
304612,109080,27235,11500,10113,14453,1565,2458,21,75,0
435661,49106,35877,7059,5950,6163,9516,5353,47,66,0
563353,27265,8804,13588,8262,7432,6818,4897,38,93,0
1870180,207685,150415,98604,22400,75852,21350,18042,57,94,0
970324,234323,130920,9032,66508,27721,19479,12102,63,84,0
436782,86505,50766,5048,6516,7975,5786,2754,61,78,0
17414,6027,2475,7161,2893,4053,3846,1422,64,78,0
378113,119111,119995,39123,33909,30617,22975,10611,64,60,0
146777,11631,3575,2545,2581,3404,3479,1519,63,77,0
424092,213749,24709,19124,30769,9722,13153,6274,50,66,0
254107,9611,16259,7990,4346,5133,6511,5538,54,54,0
498997,731307,193280,41552,40538,33039,26408,13745,43,30,0
19125,13985,15322,3592,6439,10505,3916,4222,50,38,0
389211,33197,9108,5125,6964,3794,2456,2094,56,53,0
151771,14344,6374,1418,3178,1249,483,503,47,30,0
1123312,177579,27848,59876,10431,10359,12053,10475,50,30,0
32897,16457,30901,5061,2996,3727,1174,1146,60,3,0
1174063,34915,1558,6031,4494,6936,3185,3012,53,16,0
1347898,264741,35304,21303,30529,12781,9687,3530,43,10,0
203935,17790,2548,3305,2216,2347,852,227,38,30,0
71435,5332,3808,964,2342,724,893,596,26,30,0
616916,95789,7124,7422,3262,4680,2873,2354,24,4,0
438829,228475,56164,14703,48720,32511,23883,15295,27,24,0
248570,18364,803,1243,2063,1498,1000,694,16,17,0
132150,38329,5195,1127,9391,5093,2409,1915,1,26,0
72366,11649,3487,2363,519,702,490,390,13,23,0
137702,19202,5552,3958,4433,1861,4101,2467,20,13,0
56215,31439,2204,18685,1211,3458,3042,1750,40,11,0
112159,41713,8049,8659,6717,4517,1861,2253,50,1,0
51790,19765,14393,1475,2067,1202,1115,327,54,1,0
201076,279795,30256,51974,23353,10928,17415,10443,51,1,0
576248,42119,20079,13566,18612,10216,15303,9194,51,1,26
1579848,738796,515052,256822,271270,174973,495616,198041,51,4,0
359155,89653,34190,12578,30476,33445,19970,6651,50,30,0
3061461,145327,50165,24218,33952,25075,22513,7815,43,56,0
988959,39622,26651,11238,4402,3590,2781,1079,54,66,0
832692,277723,15102,15349,11761,6462,11583,6850,35,41,0
423301,484826,275583,60057,133535,38659,64362,34705,41,14,0
465657,75672,16581,15695,3847,12710,6256,3357,40,16,0
497046,46367,6949,13158,15230,7421,17399,8857,27,34,0
533466,39668,1976,16265,5209,9254,8877,7572,41,66,0
941109,523413,290775,106130,83061,74994,46971,120003,43,75,0
2111027,115501,101645,19602,19043,16165,14548,13504,51,66,0
223261,20064,422,1083,1297,1056,582,556,37,54,0
63302,32738,3871,17664,4193,6090,5241,3722,41,48,0
116034,116303,25417,17008,21795,7420,13778,2808,34,40,0
683766,300831,75414,24265,11713,36713,23143,19323,23,44,0
86474,24195,22681,12397,17497,10733,8116,3913,48,63,0
708404,27708,11990,3909,5022,5176,3957,2926,47,66,0
1733625,189920,217094,48484,33577,34787,25929,22737,61,75,0
185706,29668,16843,10702,10148,12699,12590,5611,67,90,0
287533,110904,11493,16932,5814,17415,14595,4140,53,84,0
68695,10870,6082,5297,2925,3165,1868,1427,57,88,0
380907,108293,34541,46157,39321,23451,21498,9315,48,94,0
2104371,26322,34157,2378,18964,18369,9106,11703,48,97,0
174930,79532,13349,4828,5891,11973,8747,2394,48,97,0
2076526,511545,13530,2729,12282,23100,9166,5761,23,77,0
